[l,n]	Base4h	Base16h	Base32
[10,205]	'03031	'33K	'6d
[9,103]	'0303H	'33H	'
[10,206]	'03032	'33L	'6e
[10,207]	'03033	'33M	'6f
[6,13]	'031	'3K	'
[7,26]	'031G	'3Q	'
[8,52]	'0310	'34	'
[9,104]	'0310G	'34G	'
[10,208]	'03100	'34J	'6g
[10,209]	'03101	'34K	'6h
[9,105]	'0310H	'34H	'
[10,210]	'03102	'34L	'6i
[10,211]	'03103	'34M	'6j
[8,53]	'0311	'35	'
[9,106]	'0311G	'35G	'
[10,212]	'03110	'35J	'6k
[10,213]	'03111	'35K	'6l
[9,107]	'0311H	'35H	'
[10,214]	'03112	'35L	'6m
[10,215]	'03113	'35M	'6n
[7,27]	'031H	'3R	'
[8,54]	'0312	'36	'
[9,108]	'0312G	'36G	'
[10,216]	'03120	'36J	'6o
[10,217]	'03121	'36K	'6p
[9,109]	'0312H	'36H	'
[10,218]	'03122	'36L	'6q
[10,219]	'03123	'36M	'6r
[8,55]	'0313	'37	'
[9,110]	'0313G	'37G	'
[10,220]	'03130	'37J	'6s
[10,221]	'03131	'37K	'6t
[9,111]	'0313H	'37H	'
[10,222]	'03132	'37L	'6u
[10,223]	'03133	'37M	'6v
[5,7]	'03H	'3H	'7
[6,14]	'032	'3L	'
[7,28]	'032G	'3S	'
[8,56]	'0320	'38	'
[9,112]	'0320G	'38G	'
[10,224]	'03200	'38J	'70
[10,225]	'03201	'38K	'71
[9,113]	'0320H	'38H	'
[10,226]	'03202	'38L	'72
[10,227]	'03203	'38M	'73
[8,57]	'0321	'39	'
[9,114]	'0321G	'39G	'
[10,228]	'03210	'39J	'74
[10,229]	'03211	'39K	'75
[9,115]	'0321H	'39H	'
[10,230]	'03212	'39L	'76
[10,231]	'03213	'39M	'77
[7,29]	'032H	'3T	'
[8,58]	'0322	'3a	'
[9,116]	'0322G	'3aG	'
[10,232]	'03220	'3aJ	'78
[10,233]	'03221	'3aK	'79
[9,117]	'0322H	'3aH	'
[10,234]	'03222	'3aL	'7a
[10,235]	'03223	'3aM	'7b
[8,59]	'0323	'3b	'
[9,118]	'0323G	'3bG	'
[10,236]	'03230	'3bJ	'7c
[10,237]	'03231	'3bK	'7d
[9,119]	'0323H	'3bH	'
[10,238]	'03232	'3bL	'7e
[10,239]	'03233	'3bM	'7f
[6,15]	'033	'3M	'
